"index","mes","dia","c_totales","c_diarios"
"0","2","29","1","0"
"0","3","1","5","4"
"0","3","2","7","2"
"0","3","3","7","0"
"0","3","4","10","3"
"0","3","5","13","3"
"0","3","6","14","1"
"0","3","7","14","0"
"0","3","8","15","1"
"0","3","9","15","0"
"0","3","10","17","2"
"0","3","11","17","0"
"0","3","12","19","2"
"0","3","13","20","1"
"0","3","14","28","8"
"0","3","15","37","9"
"0","3","16","58","21"
"0","3","17","111","53"
"0","3","18","168","57"
"0","3","19","260","92"
"0","3","20","426","166"
"0","3","21","532","106"
"0","3","22","789","257"
"0","3","23","981","192"
"0","3","24","1082","101"
"0","3","25","1211","129"
"0","3","26","1382","171"
"0","3","27","1627","245"
"0","3","28","1835","208"
"0","3","29","1924","89"
"0","3","30","1966","42"
"0","3","31","2302","336"
"0","4","1","2748","446"
"0","4","2","3163","415"
"0","4","3","3368","205"
"0","4","4","3465","97"
"0","4","5","3646","181"
"0","4","6","3747","101"
"0","4","7","3995","248"
"0","4","8","4450","455"
"0","4","9","4965","515"
"0","4","10","7161","2196"
"0","4","11","7257","96"
"0","4","12","7466","209"
"0","4","13","7529","63"
"0","4","14","7603","74"
"0","4","15","7858","255"
"0","4","16","8225","367"
"0","4","17","8450","225"
"0","4","18","9022","572"
"0","4","19","9468","446"
"0","4","20","10128","660"
"0","4","21","10398","270"
"0","4","22","10850","452"
"0","4","23","22160","11310"
"0","4","24","22719","559"
"0","4","27","23240","521"
"0","4","28","24258","1018"
"0","4","29","24675","417"
"0","4","30","24934","259"
"0","5","1","26336","1402"
"0","5","2","27464","1128"
"0","5","3","29538","2074"
"0","5","4","31881","2343"
"0","5","6","29420","-2461"
"0","5","7","30289","869"
"0","5","8","28818","-1471"
"0","5","9","29071","253"
"0","5","10","29559","488"
"0","5","11","29509","-50"
"0","5","12","30419","910"
"0","5","13","30486","67"
"0","5","14","30502","16"
"0","5","15","31467","965"
"0","5","16","32723","1256"
"0","5","17","33182","459"
"0","5","18","33582","400"
"0","5","19","34151","569"
"0","5","20","34854","703"
"0","5","21","35306","452"
"0","5","22","35828","522"
"0","5","23","36258","430"
"0","5","24","36756","498"
"0","5","25","37355","599"
"0","5","26","37656","301"
"0","5","27","38103","447"
"0","5","28","38471","368"
"0","5","29","38571","100"
"0","5","30","38843","272"
"0","5","31","39098","255"
"1","6","1","39994","896"
"2","6","2","40414","420"
"3","6","3","40966","552"
"4","6","4","41575","609"
"5","6","5","42106","531"
"6","6","6","42728","622"
"7","6","7","43120","392"
"8","6","8","43378","258"
"9","6","9","43917","539"
"10","6","10","44440","523"
"11","6","11","45082","642"
"12","6","12","45778","696"
"13","6","13","46356","578"
"14","6","14","46751","395"
"15","6","15","47322","571"
"16","6","16","47943","621"
"17","6","17","48490","547"
"18","6","18","49097","607"
"19","6","19","49731","634"
"20","6","20","50183","452"
"21","6","21","50640","457"
"22","6","22","50915","275"
"23","6","23","51643","728"
"24","6","24","52334","691"
"25","6","25","53156","822"
"26","6","26","53856","700"
"27","6","27","54574","718"
"28","6","28","55255","681"
"29","6","29","55665","410"
"30","6","30","56342","677"
"31","7","1","58257","1915"
"32","7","2","59486","1229"
"33","7","3","60657","1171"
"34","7","4","61535","878"
"35","7","5","61958","423"
"36","7","6","62380","422"
"37","7","7","63245","865"
"38","7","8","64221","976"
"39","7","9","65018","797"
"40","7","10","65801","783"
"41","7","11","67209","1408"
"42","7","12","67870","661"
"43","7","13","68459","589"
"44","7","14","69570","1111"
"45","7","15","70329","759"
"46","7","16","71365","1036"
"47","7","17","72444","1079"
"48","7","18","73382","938"
"49","7","19","74013","631"
"50","7","20","74620","607"
"51","7","21","76217","1597"
"52","7","22","77257","1040"
"53","7","23","78148","891"
"54","7","24","79049","901"
"55","7","25","80036","987"
"56","7","26","80694","658"
"57","7","27","81161","467"
"58","7","28","82279","1118"
"59","7","29","83193","914"
"60","7","30","84370","1177"
"61","7","31","85355","970"
"62","8","1","86232","877"
"63","8","2","86524","292"
"64","8","3","87041","517"
"65","8","4","87963","922"
"66","8","5","88866","903"
"67","8","6","90537","1671"
"68","8","7","91969","1432"
"69","8","8","93572","1603"
"70","8","9","94459","887"
"71","8","10","94701","242"
"72","8","11","95563","862"
"73","8","12","97110","1547"
"74","8","13","98343","1233"
"75","8","14","99409","1066"
"76","8","15","100688","1279"
"77","8","16","101542","854"
