"fecha","c_totales","c_diarios"
"2020-02-29T05:00:00.000Z","1","0"
"2020-03-01T05:00:00.000Z","5","4"
"2020-03-02T05:00:00.000Z","7","2"
"2020-03-03T05:00:00.000Z","7","0"
"2020-03-04T05:00:00.000Z","10","3"
"2020-03-05T05:00:00.000Z","13","3"
"2020-03-06T05:00:00.000Z","14","1"
"2020-03-07T05:00:00.000Z","14","0"
"2020-03-08T05:00:00.000Z","15","1"
"2020-03-09T05:00:00.000Z","15","0"
"2020-03-10T05:00:00.000Z","17","2"
"2020-03-11T05:00:00.000Z","17","0"
"2020-03-12T05:00:00.000Z","19","2"
"2020-03-13T05:00:00.000Z","20","1"
"2020-03-14T05:00:00.000Z","28","8"
"2020-03-15T05:00:00.000Z","37","9"
"2020-03-16T05:00:00.000Z","58","21"
"2020-03-17T05:00:00.000Z","111","53"
"2020-03-18T05:00:00.000Z","168","57"
"2020-03-19T05:00:00.000Z","260","92"
"2020-03-20T05:00:00.000Z","426","166"
"2020-03-21T05:00:00.000Z","532","106"
"2020-03-22T05:00:00.000Z","789","257"
"2020-03-23T05:00:00.000Z","981","192"
"2020-03-24T05:00:00.000Z","1082","101"
"2020-03-25T05:00:00.000Z","1211","129"
"2020-03-26T05:00:00.000Z","1382","171"
"2020-03-27T05:00:00.000Z","1627","245"
"2020-03-28T05:00:00.000Z","1835","208"
"2020-03-29T05:00:00.000Z","1924","89"
"2020-03-30T05:00:00.000Z","1966","42"
"2020-03-31T05:00:00.000Z","2302","336"
"2020-04-01T05:00:00.000Z","2748","446"
"2020-04-02T05:00:00.000Z","3163","415"
"2020-04-03T05:00:00.000Z","3368","205"
"2020-04-04T05:00:00.000Z","3465","97"
"2020-04-05T05:00:00.000Z","3646","181"
"2020-04-06T05:00:00.000Z","3747","101"
"2020-04-07T05:00:00.000Z","3995","248"
"2020-04-08T05:00:00.000Z","4450","455"
"2020-04-09T05:00:00.000Z","4965","515"
"2020-04-10T05:00:00.000Z","7161","2196"
"2020-04-11T05:00:00.000Z","7257","96"
