"mes","dia","anio","provincia","casos"
"3","16","2020","Azuay","1"
"3","17","2020","Azuay","5"
"3","18","2020","Azuay","5"
"3","19","2020","Azuay","14"
"3","20","2020","Azuay","18"
"3","21","2020","Azuay","19"
"3","22","2020","Azuay","19"
"3","23","2020","Azuay","23"
"3","24","2020","Azuay","28"
"3","25","2020","Azuay","31"
"3","26","2020","Azuay","37"
"3","27","2020","Azuay","42"
"3","28","2020","Azuay","42"
"3","29","2020","Azuay","53"
"3","30","2020","Azuay","57"
"3","31","2020","Azuay","78"
"4","1","2020","Azuay","94"
"4","2","2020","Azuay","99"
"4","3","2020","Azuay","99"
"4","4","2020","Azuay","99"
"4","5","2020","Azuay","99"
"4","6","2020","Azuay","100"
"4","7","2020","Azuay","100"
"4","8","2020","Azuay","107"
"4","9","2020","Azuay","116"
"4","10","2020","Azuay","151"
"4","11","2020","Azuay","154"
"4","12","2020","Azuay","178"
"4","13","2020","Azuay","182"
"4","14","2020","Azuay","192"
"4","15","2020","Azuay","200"
"4","16","2020","Azuay","205"
"4","17","2020","Azuay","207"
"4","18","2020","Azuay","217"
"4","19","2020","Azuay","223"
"4","20","2020","Azuay","232"
"04","21","2020","Azuay","247"
"04","22","2020","Azuay","273"
"04","23","2020","Azuay","285"
"04","24","2020","Azuay","449"
"04","27","2020","Azuay","314"
"04","28","2020","Azuay","426"
"04","29","2020","Azuay","432"
"04","30","2020","Azuay","460"
"05","1","2020","Azuay","490"
"05","2","2020","Azuay","505"
"05","3","2020","Azuay","551"
"05","4","2020","Azuay","569"
"05","6","2020","Azuay","519"
"05","7","2020","Azuay","561"
"05","8","2020","Azuay","565"
"05","9","2020","Azuay","565"
"05","10","2020","Azuay","569"
"05","11","2020","Azuay","577"
"05","12","2020","Azuay","576"
"05","13","2020","Azuay","579"
"05","14","2020","Azuay","583"
"05","15","2020","Azuay","657"
"05","16","2020","Azuay","671"
"05","17","2020","Azuay","693"
"05","18","2020","Azuay","700"
"05","19","2020","Azuay","730"
"05","20","2020","Azuay","766"
"05","21","2020","Azuay","775"
"05","22","2020","Azuay","782"
"05","23","2020","Azuay","793"
"05","24","2020","Azuay","797"
"05","25","2020","Azuay","799"
"05","26","2020","Azuay","816"
"05","27","2020","Azuay","819"
"05","28","2020","Azuay","825"
"05","29","2020","Azuay","847"
"05","30","2020","Azuay","869"
"05","31","2020","Azuay","869"
"06","1","2020","Azuay","881"
"06","2","2020","Azuay","900"
"06","3","2020","Azuay","930"
"06","4","2020","Azuay","956"
"06","5","2020","Azuay","987"
"06","6","2020","Azuay","1015"
"6","7","2020","Azuay","1030"
"6","8","2020","Azuay","1043"
"6","9","2020","Azuay","1090"
"6","10","2020","Azuay","1108"
"6","11","2020","Azuay","1160"
"6","12","2020","Azuay","1192"
"6","13","2020","Azuay","1232"
"6","14","2020","Azuay","1249"
"6","15","2020","Azuay","1262"
"6","16","2020","Azuay","1281"
"6","17","2020","Azuay","1294"
"6","18","2020","Azuay","1349"
"6","19","2020","Azuay","1361"
"6","20","2020","Azuay","1375"
"6","21","2020","Azuay","1414"
"6","22","2020","Azuay","1424"
"6","23","2020","Azuay","1475"
"6","24","2020","Azuay","1516"
"6","25","2020","Azuay","1551"
"6","26","2020","Azuay","1598"
"6","27","2020","Azuay","1656"
"6","28","2020","Azuay","1677"
"6","29","2020","Azuay","1752"
"6","30","2020","Azuay","1762"
"7","1","2020","Azuay","1791"
"7","2","2020","Azuay","1843"
"7","3","2020","Azuay","1889"
"7","4","2020","Azuay","1917"
"7","5","2020","Azuay","1935"
"7","6","2020","Azuay","1993"
"7","7","2020","Azuay","2011"
"7","8","2020","Azuay","2063"
"7","9","2020","Azuay","2099"
"7","10","2020","Azuay","2190"
"7","11","2020","Azuay","2231"
"7","12","2020","Azuay","2262"
"7","13","2020","Azuay","2336"
"7","14","2020","Azuay","2363"
"7","15","2020","Azuay","2401"
"7","16","2020","Azuay","2463"
"7","17","2020","Azuay","2510"
"7","18","2020","Azuay","2590"
"7","19","2020","Azuay","2651"
"7","20","2020","Azuay","2662"
"7","21","2020","Azuay","2681"
"7","22","2020","Azuay","2805"
"7","23","2020","Azuay","2856"
"7","24","2020","Azuay","2933"
"7","25","2020","Azuay","2986"
"7","26","2020","Azuay","3013"
"7","27","2020","Azuay","3033"
"7","28","2020","Azuay","3076"
"7","29","2020","Azuay","3106"
"7","30","2020","Azuay","3185"
"7","31","2020","Azuay","3326"
"8","1","2020","Azuay","3439"
"8","2","2020","Azuay","3469"
"8","3","2020","Azuay","3534"
"8","4","2020","Azuay","3604"
"8","5","2020","Azuay","3740"
"8","6","2020","Azuay","3792"
"8","7","2020","Azuay","3876"
"8","8","2020","Azuay","3974"
"8","9","2020","Azuay","4008"
"8","10","2020","Azuay","4026"
"8","11","2020","Azuay","4046"
"8","12","2020","Azuay","4055"
"8","13","2020","Azuay","4149"
"8","14","2020","Azuay","4244"
"8","15","2020","Azuay","4306"
"8","16","2020","Azuay","4346"
"3","16","2020","Bolívar"," "
"3","17","2020","Bolívar"," "
"3","18","2020","Bolívar","2"
"3","19","2020","Bolívar","2"
"3","20","2020","Bolívar","4"
"3","21","2020","Bolívar","5"
"3","22","2020","Bolívar","8"
"3","23","2020","Bolívar","9"
"3","24","2020","Bolívar","9"
"3","25","2020","Bolívar","11"
"3","26","2020","Bolívar","11"
"3","27","2020","Bolívar","12"
"3","28","2020","Bolívar","14"
"3","29","2020","Bolívar","14"
"3","30","2020","Bolívar","14"
"3","31","2020","Bolívar","15"
"4","1","2020","Bolívar","20"
"4","2","2020","Bolívar","26"
"4","3","2020","Bolívar","26"
"4","4","2020","Bolívar","26"
"4","5","2020","Bolívar","27"
"4","6","2020","Bolívar","27"
"4","7","2020","Bolívar","27"
"4","8","2020","Bolívar","27"
"4","9","2020","Bolívar","30"
"4","10","2020","Bolívar","32"
"4","11","2020","Bolívar","33"
"4","12","2020","Bolívar","33"
"4","13","2020","Bolívar","33"
"4","14","2020","Bolívar","33"
"4","15","2020","Bolívar","33"
"4","16","2020","Bolívar","39"
"4","17","2020","Bolívar","39"
"4","18","2020","Bolívar","45"
"4","19","2020","Bolívar","49"
"4","20","2020","Bolívar","54"
"04","21","2020","Bolívar","55"
"04","22","2020","Bolívar","59"
"04","23","2020","Bolívar","66"
"04","24","2020","Bolívar","105"
"04","27","2020","Bolívar","124"
"04","28","2020","Bolívar","125"
"04","29","2020","Bolívar","129"
"04","30","2020","Bolívar","133"
"05","1","2020","Bolívar","151"
"05","2","2020","Bolívar","162"
"05","3","2020","Bolívar","191"
"05","4","2020","Bolívar","176"
"05","6","2020","Bolívar","163"
"05","7","2020","Bolívar","197"
"05","8","2020","Bolívar","159"
"05","9","2020","Bolívar","163"
"05","10","2020","Bolívar","167"
"05","11","2020","Bolívar","166"
"05","12","2020","Bolívar","179"
"05","13","2020","Bolívar","180"
"05","14","2020","Bolívar","180"
"05","15","2020","Bolívar","206"
"05","16","2020","Bolívar","218"
"05","17","2020","Bolívar","230"
"05","18","2020","Bolívar","240"
"05","19","2020","Bolívar","257"
"05","20","2020","Bolívar","271"
"05","21","2020","Bolívar","288"
"05","22","2020","Bolívar","289"
"05","23","2020","Bolívar","295"
"05","24","2020","Bolívar","298"
"05","25","2020","Bolívar","299"
"05","26","2020","Bolívar","305"
"05","27","2020","Bolívar","305"
"05","28","2020","Bolívar","309"
"05","29","2020","Bolívar","309"
"05","30","2020","Bolívar","311"
"05","31","2020","Bolívar","312"
"06","1","2020","Bolívar","316"
"06","2","2020","Bolívar","321"
"06","3","2020","Bolívar","328"
"06","4","2020","Bolívar","337"
"06","5","2020","Bolívar","344"
"06","6","2020","Bolívar","358"
"6","7","2020","Bolívar","367"
"6","8","2020","Bolívar","368"
"6","9","2020","Bolívar","371"
"6","10","2020","Bolívar","401"
"6","11","2020","Bolívar","421"
"6","12","2020","Bolívar","438"
"6","13","2020","Bolívar","449"
"6","14","2020","Bolívar","452"
"6","15","2020","Bolívar","463"
"6","16","2020","Bolívar","474"
